"Data";"Sigla";"Codigo";"Codigo ISIN";"Emissao";"Vencimento";"Operacoes";"Operacoes_com_corretagem";"Negociacoes";"Qtd_negociada_comCorretagem";"Preco_Min_Negociacao";"Preco_medio_Negociacao";"Preco_Max_Negociacao";"Taxa_Min_negociacao";"Taxa_media_negociacao";"Taxa_max_negociacao"
2018-08-13;"LFT";210100;"BRSTNCLF1R09";2013-01-11;2018-09-01;147;104;119568;87691;9649.68;9652;9652.08;-0.0016;0.0134;0.4175
2018-08-13;"LFT";210100;"BRSTNCLF1R17";2013-07-19;2019-03-01;74;43;58216;43090;9648.56;9651.97;9651.98;0.0018;0.002;0.0665
2018-08-13;"LFT";210100;"BRSTNCLF1R25";2014-01-17;2020-03-01;27;11;7042;3370;9648.95;9651.21;9652.07;0;0.0058;0.0209
2018-08-13;"LFT";210100;"BRSTNCLF1R33";2014-07-18;2020-09-01;60;15;7841;2921;9553.99;9651.09;9651.3;0.0039;0.0049;0.5
2018-08-13;"LFT";210100;"BRSTNCLF1R41";2015-01-09;2021-03-01;80;18;49604;10000;9639.95;9650.44;9673.72;-0.0884;0.0067;0.0496
2018-08-13;"LFT";210100;"BRSTNCLF1R58";2015-05-08;2021-09-01;66;21;137091;127788;9646.89;9649.78;9650.34;0.0059;0.0077;0.0176
2018-08-13;"LFT";210100;"BRSTNCLF1R66";2016-01-08;2022-03-01;33;9;18993;6036;9642.04;9648.76;9649.2;0.0084;0.0097;0.0294
2018-08-13;"LFT";210100;"BRSTNCLF1R74";2016-07-08;2022-09-01;34;8;11998;1345;9642.63;9647.68;9652.07;0;0.0112;0.0242
2018-08-13;"LFT";210100;"BRSTNCLF1R82";2017-01-13;2023-03-01;58;19;15608;1934;9597.11;9645.03;9652.07;0;0.016;0.126
2018-08-13;"LFT";210100;"BRSTNCLF1R90";2017-07-14;2023-09-01;114;22;60529;42639;9593.69;9644.44;9653.53;-0.0029;0.0157;0.1204
2018-08-13;"LFT";210100;"BRSTNCLF1RA8";2018-01-05;2024-03-01;36;9;24982;4237;9635.81;9641.09;9644.23;0.0147;0.0206;0.0305
2018-08-13;"LFT";210100;"BRSTNCLF0008";2018-07-06;2024-09-01;15;5;26250;23226;9638.14;9639.07;9639.36;0.0218;0.0223;0.0239
2018-08-13;"LTN";1e+05;"BRSTNCLTN7E1";2016-07-08;2018-10-01;19;4;848513;187170;991.577084;991.598928;991.639928;6.42;6.4526;6.47
2018-08-13;"LTN";1e+05;"BRSTNCLTN764";2015-01-09;2019-01-01;25;4;1357353;100200;974.953922;975.543297;975.667214;6.68;6.7155;6.885
2018-08-13;"LTN";1e+05;"BRSTNCLTN7G6";2017-01-06;2019-04-01;20;4;1160432;350000;957.297694;957.526389;957.915112;7.145;7.2148;7.2559
2018-08-13;"LTN";1e+05;"BRSTNCLTN798";2015-07-03;2019-07-01;9;0;348800;0;936.888172;938.366617;940.072272;7.37;7.5946;7.79
2018-08-13;"LTN";1e+05;"BRSTNCLTN7H4";2017-07-07;2019-10-01;19;3;411814;165000;915.538477;916.522856;919.143218;7.74;8.0123;8.115
2018-08-13;"LTN";1e+05;"BRSTNCLTN7B7";2016-01-08;2020-01-01;26;8;1807467;450000;892.437783;894.674829;898.322671;8.05;8.3679;8.564
2018-08-13;"LTN";1e+05;"BRSTNCLTN7F8";2016-07-08;2020-07-01;62;21;1670552;475620;848.752235;851.807931;857.678885;8.542;8.9407;9.15
2018-08-13;"LTN";1e+05;"BRSTNCLTN004";2018-07-06;2020-10-01;15;12;673500;553500;827.616785;828.154992;828.424249;9.235;9.2516;9.285
