"Data";"Sigla";"Codigo";"Codigo ISIN";"Emissao";"Vencimento";"Operacoes";"Operacoes_com_corretagem";"Qtd_negociada";"Qtd_negociada_comCorretagem";"Preco_Min_Negociacao";"Preco_medio_Negociacao";"Preco_Max_Negociacao";"Preco_dif"
2018-08-13;"NTN-B";760199;"BRSTNCNTB3X2";2011-10-13;2018-08-15;113;3;11829;334;3224.83;3225.59;3225.62;0.789999999999509
2018-08-13;"NTN-B";760199;"BRSTNCNTB4N1";2014-01-15;2019-05-15;63;8;469398;24521;3224.74;3239.49;3240.68;15.9400000000001
2018-08-13;"NTN-B";760199;"BRSTNCNTB3A0";2009-01-14;2020-08-15;44;3;261634;1870;3298.81;3320.7;3342.19;43.3799999999997
2018-08-13;"NTN-B";760199;"BRSTNCNTB4T8";2016-01-06;2021-05-15;135;4;1042315;2001;3271.39;3276.28;3296.41;25.02
2018-08-13;"NTN-B";760199;"BRSTNCNTB3Y0";2011-10-13;2022-08-15;177;16;999572;45577;3250.93;3291.69;3323.28;72.3499999999995
2018-08-13;"NTN-B";760199;"BRSTNCNTB4O9";2014-01-15;2023-05-15;202;9;1107367;24550;3211.27;3243.6;3342.93;131.66
2018-08-13;"NTN-B";760199;"BRSTNCNTB096";2003-10-15;2024-08-15;46;5;79805;275;3221.55;3289.61;3351.2;129.65
2018-08-13;"NTN-B";760199;"BRSTNCNTB4U6";2016-01-06;2026-08-15;112;13;140982;2198;3218.25;3291.02;3396.34;178.09
2018-08-13;"NTN-B";760199;"BRSTNCNTB4X0";2018-01-10;2028-08-15;19;1;83415;3;3298.26;3301.51;3309.97;11.7100000000005
2018-08-13;"NTN-B";760199;"BRSTNCNTB3B8";2010-02-10;2030-08-15;26;11;16177;4187;3254.1;3293.6;3369.14;115.04
2018-08-13;"NTN-B";760199;"BRSTNCNTB0O7";2006-03-07;2035-05-15;50;5;19553;140;3214.6;3251.38;3382.95;168.35
2018-08-13;"NTN-B";760199;"BRSTNCNTB3C6";2010-02-10;2040-08-15;20;6;7615;368;3280.79;3308.95;3319.37;38.5800000000004
